year,first_name,sex,num
1920,Mary,F,70982
1920,Dorothy,F,36643
1920,Helen,F,35097
1920,Margaret,F,27994
1920,Ruth,F,26101
1920,Mildred,F,18059
1920,Virginia,F,17314
1920,Elizabeth,F,15909
1920,Frances,F,15883
1920,Anna,F,14581
1920,Betty,F,14016
1920,Evelyn,F,13838
1920,Marie,F,12743
1920,Doris,F,11892
1920,Alice,F,11596
1920,Florence,F,10732
1920,Irene,F,10072
1920,Lillian,F,10049
1920,Louise,F,9179
1920,Rose,F,9011
1920,Catherine,F,8878
1920,Gladys,F,8819
1920,Martha,F,8709
1920,Marjorie,F,8658
1920,Eleanor,F,8497
1920,Ruby,F,8336
1920,Edna,F,8331
1920,Josephine,F,8093
1920,Lucille,F,7989
1920,Ethel,F,7868
1920,Thelma,F,7814
1920,Edith,F,7773
1920,Jean,F,7714
1920,Hazel,F,7308
1920,Annie,F,7269
1920,Pauline,F,7180
1920,Grace,F,7172
1920,Lois,F,6560
1920,Esther,F,6068
1920,Bernice,F,5928
1920,Beatrice,F,5804
1920,Gertrude,F,5797
1920,Marion,F,5745
1920,Clara,F,5470
1920,Katherine,F,5276
1920,Emma,F,5237
1920,Barbara,F,5106
1920,Jane,F,5055
1920,Ann,F,5041
1920,Sarah,F,5031
1920,John,M,56914
1920,William,M,50148
1920,Robert,M,48678
1920,James,M,47909
1920,Charles,M,28309
1920,George,M,26891
1920,Joseph,M,25590
1920,Edward,M,20096
1920,Frank,M,16430
1920,Richard,M,15010
1920,Thomas,M,14938
1920,Harold,M,13678
1920,Walter,M,13293
1920,Paul,M,12571
1920,Raymond,M,12194
1920,Donald,M,11942
1920,Henry,M,11305
1920,Arthur,M,10236
1920,Albert,M,9997
1920,Jack,M,9599
1920,Harry,M,9406
1920,Ralph,M,8556
1920,Kenneth,M,7840
1920,Howard,M,7465
1920,David,M,7445
1920,Clarence,M,7221
1920,Carl,M,7010
1920,Louis,M,6966
1920,Willie,M,6888
1920,Eugene,M,6866
1920,Earl,M,6532
1920,Roy,M,6355
1920,Fred,M,6298
1920,Francis,M,6241
1920,Joe,M,6071
1920,Lawrence,M,5727
1920,Ernest,M,5566
1920,Leonard,M,5511
1920,Warren,M,5492
1920,Stanley,M,5314
1920,Herbert,M,5249
1920,Alfred,M,5007
1921,Mary,F,73985
1921,Dorothy,F,39087
1921,Helen,F,34822
1921,Margaret,F,28468
1921,Ruth,F,25784
1921,Virginia,F,19032
1921,Mildred,F,17881
1921,Betty,F,17638
