"country_name","country_code","indicator_name","indicator_code","debt"
"Afghanistan","AFG","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","72894453.700000003"
"Afghanistan","AFG","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","53239440.100000001"
"Afghanistan","AFG","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","61739336.899999999"
"Afghanistan","AFG","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","49114729.399999999"
"Afghanistan","AFG","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","39903620.100000001"
"Afghanistan","AFG","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","39107845"
"Afghanistan","AFG","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","23779724.300000001"
"Afghanistan","AFG","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","13335820"
"Afghanistan","AFG","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","100847181.900000006"
"Afghanistan","AFG","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","72894453.700000003"
"Afghanistan","AFG","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","53239440.100000001"
"Afghanistan","AFG","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","100847181.900000006"
"Albania","ALB","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","317194512.5"
"Albania","ALB","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","165602386.900000006"
"Albania","ALB","Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)","DT.INT.DPNG.CD","87884000"
"Albania","ALB","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","54250280.600000001"
"Albania","ALB","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","76050616.099999994"
"Albania","ALB","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","13847333.6"
"Albania","ALB","PPG, bonds (AMT, current US$)","DT.AMT.PBND.CD","0"
"Albania","ALB","PPG, bonds (INT, current US$)","DT.INT.PBND.CD","31030688.199999999"
"Albania","ALB","PPG, commercial banks (AMT, current US$)","DT.AMT.PCBK.CD","39445139.5"
"Albania","ALB","PPG, commercial banks (DIS, current US$)","DT.DIS.PCBK.CD","4542664.9"
"Albania","ALB","PPG, commercial banks (INT, current US$)","DT.INT.PCBK.CD","4618504.3"
"Albania","ALB","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","182197616.699999988"
"Albania","ALB","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","234321242.300000012"
"Albania","ALB","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","28101536.100000001"
"Albania","ALB","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","236447897.300000012"
"Albania","ALB","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","310371858.399999976"
"Albania","ALB","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","41948869.700000003"
"Albania","ALB","PPG, other private creditors (AMT, current US$)","DT.AMT.PROP.CD","170018.4"
"Albania","ALB","PPG, other private creditors (DIS, current US$)","DT.DIS.PROP.CD","2279989.2"
"Albania","ALB","PPG, other private creditors (INT, current US$)","DT.INT.PROP.CD","120324.7"
"Albania","ALB","PPG, private creditors (AMT, current US$)","DT.AMT.PRVT.CD","39615157.899999999"
"Albania","ALB","PPG, private creditors (DIS, current US$)","DT.DIS.PRVT.CD","6822654.1"
"Albania","ALB","PPG, private creditors (INT, current US$)","DT.INT.PRVT.CD","35769517.200000003"
"Albania","ALB","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","790248675.200000048"
"Albania","ALB","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","514185620"
"Algeria","DZA","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","10320772.199999999"
"Algeria","DZA","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","19031728.699999999"
"Algeria","DZA","Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)","DT.INT.DPNG.CD","3220000"
"Algeria","DZA","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","95188724.599999994"
"Algeria","DZA","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","10320772.199999999"
"Algeria","DZA","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","7680627.6"
"Algeria","DZA","PPG, commercial banks (AMT, current US$)","DT.AMT.PCBK.CD","576463.5"
"Algeria","DZA","PPG, commercial banks (INT, current US$)","DT.INT.PCBK.CD","13192.3"
"Algeria","DZA","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","0"
"Algeria","DZA","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","8094779"
"Algeria","DZA","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","95188724.599999994"
"Algeria","DZA","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","10320772.199999999"
"Algeria","DZA","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","15775406.6"
"Algeria","DZA","PPG, other private creditors (AMT, current US$)","DT.AMT.PROP.CD","0"
"Algeria","DZA","PPG, other private creditors (INT, current US$)","DT.INT.PROP.CD","23129.8"
"Algeria","DZA","PPG, private creditors (AMT, current US$)","DT.AMT.PRVT.CD","576463.5"
"Algeria","DZA","PPG, private creditors (INT, current US$)","DT.INT.PRVT.CD","36322.1"
"Algeria","DZA","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","171185188.099999994"
"Algeria","DZA","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","75420000"
"Angola","AGO","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","10924018093.100000381"
"Angola","AGO","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","1798550445.5"
"Angola","AGO","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","8473824016.300000191"
"Angola","AGO","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","8838256901.100000381"
"Angola","AGO","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","1005053965.100000024"
"Angola","AGO","PPG, bonds (AMT, current US$)","DT.AMT.PBND.CD","1000000000"
"Angola","AGO","PPG, bonds (INT, current US$)","DT.INT.PBND.CD","70000000"
"Angola","AGO","PPG, commercial banks (AMT, current US$)","DT.AMT.PCBK.CD","1125088719.900000095"
"Angola","AGO","PPG, commercial banks (DIS, current US$)","DT.DIS.PCBK.CD","1906771593.799999952"
"Angola","AGO","PPG, commercial banks (INT, current US$)","DT.INT.PCBK.CD","580902004.299999952"
"Angola","AGO","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","124688691.900000006"
